# Logfile created on 2026-03-09 17:38:44 +0100 by logger.rb/v1.6.0
2026-03-09 17:38:44 +0100: Memory Usage (423376K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/ubudev/submit/heichips25-ethernet/librelane/macro_analog/line_driver.gds
2026-03-09 17:38:44 +0100: Memory Usage (423376K) : Ruby Version for klayout: 3.3.10
2026-03-09 17:38:44 +0100: Memory Usage (424272K) : Loading database to memory is complete.
2026-03-09 17:38:44 +0100: Memory Usage (424272K) : IHP-SG13G2 KLayout DRC runset output at: /home/ubudev/submit/heichips25-ethernet/librelane/macro_analog/drc_run_line_driver/line_driver_line_driver_main.lyrdb
2026-03-09 17:38:44 +0100: Memory Usage (424400K) : Evaluate switches.
2026-03-09 17:38:44 +0100: Memory Usage (424400K) : tables selected: main
2026-03-09 17:38:44 +0100: Memory Usage (424400K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-09 17:38:44 +0100: Memory Usage (424400K) : deep mode is enabled.
2026-03-09 17:38:44 +0100: Memory Usage (424400K) : FEOL enabled: true
2026-03-09 17:38:44 +0100: Memory Usage (424400K) : BEOL enabled: true
2026-03-09 17:38:44 +0100: Memory Usage (424400K) : OFFGRID enabled: true
2026-03-09 17:38:44 +0100: Memory Usage (424400K) : PIN enabled: true
2026-03-09 17:38:44 +0100: Memory Usage (424400K) : FORBIDDEN enabled: true
2026-03-09 17:38:44 +0100: Memory Usage (424400K) : RECOMMENDED enabled: true
2026-03-09 17:38:44 +0100: Memory Usage (424400K) : PreCheck DRC enabled: false
2026-03-09 17:38:44 +0100: Memory Usage (424400K) : CONNECTIVITY_RULES enabled: true.
2026-03-09 17:38:44 +0100: Memory Usage (424400K) : Read in polygons from layers.
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : activ_drw has 742 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : activ_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : activ_mask has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : activ_filler has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : activ_nofill has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : activ_opc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : activ_iopc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : activ_noqrc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : biwind_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : biwind_opc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : pemwind_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : gatpoly_drw has 632 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : gatpoly_pin has 32 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : gatpoly_filler has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : gatpoly_nofill has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : gatpoly_opc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : gatpoly_iopc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : gatpoly_noqrc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : cont_drw has 13390 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : cont_opc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : nsd_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425680K) : nsd_block has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425808K) : metal1_drw has 955 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425808K) : metal1_pin has 97 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425936K) : metal1_mask has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (425936K) : metal1_filler has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426064K) : metal1_nofill has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426064K) : metal1_slit has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426192K) : metal1_text has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426192K) : metal1_opc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426192K) : metal1_noqrc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426320K) : metal1_res has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426320K) : metal1_iprobe has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426320K) : metal1_diffprb has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426320K) : passiv_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426320K) : passiv_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426448K) : passiv_sbump has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426448K) : passiv_pillar has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426448K) : passiv_pdl has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426448K) : metal2_drw has 60 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426448K) : metal2_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426576K) : metal2_mask has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426576K) : metal2_filler has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426576K) : metal2_nofill has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426704K) : metal2_slit has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426704K) : metal2_text has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426704K) : metal2_opc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426832K) : metal2_noqrc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426832K) : metal2_res has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426832K) : metal2_iprobe has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426832K) : metal2_diffprb has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (426832K) : baspoly_drw has 0 polygons
