Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,5540
design__instance__area,86791.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0005237867590039968
power__switching__total,0.0000927165019675158
power__leakage__total,0.000004021174845547648
power__total,0.0006205243989825249
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2557894524146741
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2557845119220748
timing__hold__ws__corner:nom_fast_1p32V_m40C,-0.29584530107528434
timing__setup__ws__corner:nom_fast_1p32V_m40C,4.770081797904099
timing__hold__tns__corner:nom_fast_1p32V_m40C,-0.29584530107528434
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,-0.29584530107528434
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,1
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.114498
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,8.112966
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2545978222530667
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2545947691396626
timing__hold__ws__corner:nom_slow_1p08V_125C,-0.3351095051857964
timing__setup__ws__corner:nom_slow_1p08V_125C,4.759086148757233
timing__hold__tns__corner:nom_slow_1p08V_125C,-0.3351095051857964
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,-0.3351095051857964
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,1
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.619367
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,5.847175
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.25529523662128484
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.25529137859616513
timing__hold__ws__corner:nom_typ_1p20V_25C,-0.31414990942245197
timing__setup__ws__corner:nom_typ_1p20V_25C,4.761471796060018
timing__hold__tns__corner:nom_typ_1p20V_25C,-0.31414990942245197
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,-0.31414990942245197
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,1
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.298612
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,7.302933
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2545978222530667
clock__skew__worst_setup,0.2545947691396626
timing__hold__ws,-0.3351095051857964
timing__setup__ws,4.759086148757233
timing__hold__tns,-0.3351095051857964
timing__setup__tns,0.0
timing__hold__wns,-0.3351095051857964
timing__setup__wns,0.0
timing__hold_vio__count,3
timing__hold_r2r__ws,0.114498
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.847175
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 500.0 200.0
design__core__bbox,2.88 3.78 496.8 192.78
design__io,47
design__die__area,100000
design__core__area,93350.9
design__instance__count__stdcell,319
design__instance__area__stdcell,5702.66
design__instance__count__macros,1
design__instance__area__macros,17328.7
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.246719
design__instance__utilization__stdcell,0.0750131
design__rows,79
design__rows:CoreSite,79
design__sites,38284
design__sites:CoreSite,38284
design__instance__count__class:macro,1
design__instance__area__class:macro,17328.7
design__instance__count__class:buffer,5
design__instance__area__class:buffer,36.288
design__instance__count__class:inverter,10
design__instance__area__class:inverter,54.432
design__instance__count__class:sequential_cell,47
design__instance__area__class:sequential_cell,2302.47
design__instance__count__class:multi_input_combinational_cell,142
design__instance__area__class:multi_input_combinational_cell,1320.88
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__count:ORD-2011,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
flow__warnings__count:PDN-0211,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,485.887
design__instance__displacement__mean,1.518
design__instance__displacement__max,11.34
route__wirelength__estimated,7302.15
design__violations,0
design__instance__count__class:timing_repair_buffer,102
design__instance__area__class:timing_repair_buffer,1438.82
design__instance__count__class:clock_buffer,12
design__instance__area__class:clock_buffer,544.32
design__instance__count__class:clock_inverter,1
design__instance__area__class:clock_inverter,5.4432
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,77
global_route__vias,1847
global_route__wirelength,11707
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,339
route__net__special,2
route__drc_errors__iter:0,52
route__wirelength__iter:0,7301
route__drc_errors__iter:1,10
route__wirelength__iter:1,7179
route__drc_errors__iter:2,11
route__wirelength__iter:2,7165
route__drc_errors__iter:3,0
route__wirelength__iter:3,7166
route__drc_errors,0
route__wirelength,7166
route__vias,1673
route__vias__singlecut,1673
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
flow__warnings__count:DRT-6000,1001
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,234.69
design__instance__count__class:fill_cell,5220
design__instance__area__class:fill_cell,63759.8
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,13
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,13
